SeniorCitizen,Partner,Dependents,tenure,MultipleLines,InternetService,OnlineSecurity,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,customerID,Churn_Prob,VaR,CLV,Segment,Strategy,Action,Timing
0,No,No,60,Yes,Fiber optic,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,105.9,7752-XUSCI,0.5736491011421656,60.749439810955344,6354.0,High-Value/Critical,Concierge Save,Offer 2-Year Contract + Fiber Discount,Immediate
0,No,No,2,No,Fiber optic,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,90.4,2034-GDRCN,0.8541155793344395,77.21204837183333,180.8,High-Value/Critical,Concierge Save,Offer 2-Year Contract + Fiber Discount,Immediate
0,No,No,3,No,Fiber optic,No,Yes,No,No,Yes,Month-to-month,No,Electronic check,90.4,0258-NOKBL,0.779691416600739,70.48410406070681,271.20000000000005,High-Value/Critical,Concierge Save,Offer 2-Year Contract + Fiber Discount,Immediate
0,No,No,47,Yes,Fiber optic,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.4,8938-UMKPI,0.5736491011421656,61.03626436152642,5000.8,High-Value/Critical,Concierge Save,Offer 2-Year Contract + Fiber Discount,Immediate
0,No,No,1,No,Fiber optic,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,89.55,0970-ETWGE,0.8541155793344395,76.48605012939906,89.55,High-Value/Critical,Concierge Save,Offer 2-Year Contract + Fiber Discount,Immediate
0,Yes,No,1,No,Fiber optic,No,No,No,Yes,No,Month-to-month,No,Electronic check,78.8,6372-RFVNS,0.7724674839116596,60.87043773223878,78.8,High-Value/Critical,Concierge Save,Offer 2-Year Contract + Fiber Discount,Immediate
0,No,No,47,Yes,Fiber optic,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.35,5630-IXDXV,0.5736491011421656,61.00758190646931,4998.45,High-Value/Critical,Concierge Save,Offer 2-Year Contract + Fiber Discount,Immediate
0,No,No,9,Yes,Fiber optic,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.3,4445-ZJNMU,0.700601515275015,69.56973046680899,893.6999999999999,High-Value/Critical,Concierge Save,Offer 2-Year Contract + Fiber Discount,Immediate
0,No,No,1,No,Fiber optic,No,No,No,No,Yes,Month-to-month,No,Electronic check,80.5,2867-UIMSS,0.7789352260217098,62.70428569474764,80.5,High-Value/Critical,Concierge Save,Offer 2-Year Contract + Fiber Discount,Immediate
0,Yes,No,10,Yes,Fiber optic,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,85.6,7249-WBIYX,0.7126875021974068,61.00605018809802,856.0,High-Value/Critical,Concierge Save,Offer 2-Year Contract + Fiber Discount,Immediate
1,No,No,3,Yes,Fiber optic,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,94.85,5150-ITWWB,0.8917994564331672,84.5871784426859,284.54999999999995,High-Value/Critical,Concierge Save,Offer 2-Year Contract + Fiber Discount,Immediate
0,No,No,4,Yes,Fiber optic,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,93.5,1731-TVIUK,0.6584078851697298,61.56113726336974,374.0,High-Value/Critical,Concierge Save,Offer 2-Year Contract + Fiber Discount,Immediate
0,No,No,12,Yes,Fiber optic,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.7,2027-FECZV,0.7694146802867924,82.09654638660075,1280.4,High-Value/Critical,Concierge Save,Offer 2-Year Contract + Fiber Discount,Immediate
1,No,No,11,Yes,Fiber optic,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),95.15,6328-ZPBGN,0.692974428619393,65.93651688313524,1046.65,High-Value/Critical,Concierge Save,Offer 2-Year Contract + Fiber Discount,Immediate
1,No,No,16,Yes,Fiber optic,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,96.4,8245-UMPYT,0.661967531203611,63.8136700080281,1542.4,High-Value/Critical,Concierge Save,Offer 2-Year Contract + Fiber Discount,Immediate
0,Yes,No,3,Yes,Fiber optic,No,No,No,No,No,Month-to-month,Yes,Electronic check,75.85,3519-ZKXGG,0.8271546048670156,62.73967677916313,227.54999999999998,High-Value/Critical,Concierge Save,Offer 2-Year Contract + Fiber Discount,Immediate
