SeniorCitizen,Partner,Dependents,tenure,MultipleLines,InternetService,OnlineSecurity,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,customerID,Churn_Prob,VaR,CLV,Segment,Strategy,Action,Timing
0,No,No,7,Yes,Fiber optic,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),78.55,4059-IIEBK,0.5739662734110971,45.085050776441676,549.85,Mid-Value/Monitor,Anchor Bundle,Add Online Security / Tech Support,Next 30 Days
0,Yes,Yes,14,Yes,Fiber optic,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,87.25,2845-HSJCY,0.6232917335891452,54.382203755652924,1221.5,Mid-Value/Monitor,Anchor Bundle,Add Online Security / Tech Support,Next 30 Days
1,Yes,No,4,No,Fiber optic,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.2,7044-YAACC,0.5758587496726207,40.425284227017976,280.8,Mid-Value/Monitor,Anchor Bundle,Add Online Security / Tech Support,Next 30 Days
0,Yes,No,14,No,Fiber optic,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,78.1,3317-VLGQT,0.5930190217070912,46.31478559532382,1093.3999999999999,Mid-Value/Monitor,Anchor Bundle,Add Online Security / Tech Support,Next 30 Days
0,No,No,3,Yes,Fiber optic,No,No,No,No,No,Month-to-month,No,Mailed check,75.0,8676-TRMJS,0.7266500675161057,54.49875506370793,225.0,Mid-Value/Monitor,Anchor Bundle,Add Online Security / Tech Support,Next 30 Days
0,No,No,22,Yes,Fiber optic,No,No,No,No,No,Month-to-month,Yes,Electronic check,79.35,6298-QDFNH,0.5376440582456786,42.6620560217946,1745.6999999999998,Mid-Value/Monitor,Anchor Bundle,Add Online Security / Tech Support,Next 30 Days
0,No,No,1,No,DSL,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,49.3,3716-UVSPD,0.531091020701052,26.18278732056186,49.3,Mid-Value/Monitor,Anchor Bundle,Add Online Security / Tech Support,Next 30 Days
0,No,No,1,No,Fiber optic,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.1,3716-BDVDB,0.7790314323967034,53.8310719786122,69.1,Mid-Value/Monitor,Anchor Bundle,Add Online Security / Tech Support,Next 30 Days
1,Yes,No,1,No,Fiber optic,No,No,No,No,No,Month-to-month,Yes,Mailed check,70.45,0390-DCFDQ,0.7020937415313926,49.46250409088661,70.45,Mid-Value/Monitor,Anchor Bundle,Add Online Security / Tech Support,Next 30 Days
0,No,No,2,No,DSL,No,No,No,No,No,Month-to-month,Yes,Mailed check,50.3,9992-UJOEL,0.5103335057904977,25.669775341262035,100.6,Mid-Value/Monitor,Anchor Bundle,Add Online Security / Tech Support,Next 30 Days
1,Yes,No,8,Yes,Fiber optic,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),80.65,7495-OOKFY,0.5734982916283614,46.25263721982735,645.2,Mid-Value/Monitor,Anchor Bundle,Add Online Security / Tech Support,Next 30 Days
0,No,No,6,Yes,Fiber optic,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.9,4229-CZMLL,0.6650601466346306,49.81300498293384,449.40000000000003,Mid-Value/Monitor,Anchor Bundle,Add Online Security / Tech Support,Next 30 Days
0,No,No,21,Yes,Fiber optic,No,No,No,No,No,Month-to-month,Yes,Electronic check,73.7,0491-KAPQG,0.5376440582456786,39.624367092706514,1547.7,Mid-Value/Monitor,Anchor Bundle,Add Online Security / Tech Support,Next 30 Days
0,No,No,1,Yes,Fiber optic,No,No,No,No,No,Month-to-month,Yes,Mailed check,74.25,3707-GNWHM,0.7747806676736275,57.527464574766846,74.25,Mid-Value/Monitor,Anchor Bundle,Add Online Security / Tech Support,Next 30 Days
1,Yes,No,27,Yes,Fiber optic,No,No,No,No,No,Month-to-month,Yes,Electronic check,75.5,1989-PRJHP,0.5288204205286892,39.925941749916035,2038.5,Mid-Value/Monitor,Anchor Bundle,Add Online Security / Tech Support,Next 30 Days
1,No,No,26,No,Fiber optic,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,91.25,6712-OAWRH,0.580633645387287,52.98282014158994,2372.5,Mid-Value/Monitor,Anchor Bundle,Add Online Security / Tech Support,Next 30 Days
0,No,No,1,No,Fiber optic,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.25,1640-PLFMP,0.7790314323967034,54.726958125868414,70.25,Mid-Value/Monitor,Anchor Bundle,Add Online Security / Tech Support,Next 30 Days
1,No,No,11,Yes,Fiber optic,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),84.8,4706-AXVKM,0.6435685460259475,54.57461270300035,932.8,Mid-Value/Monitor,Anchor Bundle,Add Online Security / Tech Support,Next 30 Days
0,No,No,2,Yes,DSL,No,No,Yes,No,No,Month-to-month,Yes,Mailed check,54.35,9667-TKTVZ,0.5246316459745588,28.51372995871727,108.7,Mid-Value/Monitor,Anchor Bundle,Add Online Security / Tech Support,Next 30 Days
0,No,No,1,No,Fiber optic,No,No,No,No,No,Month-to-month,No,Mailed check,71.1,8040-MNRTF,0.6533966199898019,46.45649968127491,71.1,Mid-Value/Monitor,Anchor Bundle,Add Online Security / Tech Support,Next 30 Days
1,Yes,No,14,Yes,Fiber optic,No,No,No,No,No,Month-to-month,Yes,Electronic check,75.1,8107-KNCIM,0.6135283824119273,46.07598151913574,1051.3999999999999,Mid-Value/Monitor,Anchor Bundle,Add Online Security / Tech Support,Next 30 Days
0,Yes,No,6,Yes,Fiber optic,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,82.85,3727-RJMEO,0.7126875021974068,59.046159557055155,497.09999999999997,Mid-Value/Monitor,Anchor Bundle,Add Online Security / Tech Support,Next 30 Days
0,Yes,No,1,No phone service,DSL,No,No,No,No,No,Month-to-month,Yes,Electronic check,24.8,1024-GUALD,0.6776355692069433,16.805362116332194,24.8,Mid-Value/Monitor,Anchor Bundle,Add Online Security / Tech Support,Next 30 Days
0,No,No,1,No,DSL,No,No,No,No,No,Month-to-month,Yes,Electronic check,50.75,4317-VTEOA,0.6017569954431392,30.539167518739315,50.75,Mid-Value/Monitor,Anchor Bundle,Add Online Security / Tech Support,Next 30 Days
0,No,No,4,Yes,Fiber optic,No,No,No,No,No,Month-to-month,Yes,Electronic check,75.65,4749-OJKQU,0.6650601466346306,50.31180009290981,302.6,Mid-Value/Monitor,Anchor Bundle,Add Online Security / Tech Support,Next 30 Days
